                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0384,                 1.0393,                  1.188,                 0.8161,                0.66704,                0.76513,                0.59389,                0.92887,                0.77753,                 1.0314,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  1.009,                 1.0185,                 1.1839,                0.77794,                0.70531,                0.78027,                0.60755,                0.91704,                0.74823,                 1.0229,             1.7673e-05,             1.7673e-05,             1.7673e-05
